OBJECT_NAME,EPOCH,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,v_r_km_s,v_t_km_s
STARLINK-11695 [DTC],2025-05-04T06:00:02.000160,-734.0241046550659,-5674.566959168493,3515.5116799069074,6.823482592992351,1.2028042849246785,3.367700777178452,0.0007739170521268157,7.703769257341729
STARLINK-11685 [DTC],2025-05-03T17:30:26.245152,-4783.46019053794,-4712.595508805458,6.9543724878198425,3.957410570399564,-4.011197461790524,5.254292776152937,0.001426009118393079,7.704439891660903
STARLINK-11697 [DTC],2025-05-03T17:23:24.741888,-4786.442279071674,-4709.047670466111,6.951326699280591,3.9547653357707615,-4.014190065612873,5.2545667891370265,0.0015313874735896071,7.70482709346766
STARLINK-11680 [DTC],2025-05-04T06:00:02.000160,5882.827382645597,619.6098485472844,3178.5600354162007,1.350476891957059,6.573934701995832,-3.783026317457394,-0.0009946202215934674,7.704004960481326
STARLINK-11687 [DTC],2025-05-04T06:00:02.000160,5756.13321477174,3215.117981689976,1272.4493502500347,-1.9491289820475708,5.484632448861969,-5.047855719228648,-0.0013174377936064907,7.704618258828563
STARLINK-11626 [DTC],2025-05-04T06:00:02.000160,4312.299429661589,5063.537669070982,-918.9157495038032,-4.79307876741051,3.1459576375846408,-5.147957229609774,-0.0013370064900199985,7.705330322470528
STARLINK-11668 [DTC],2025-05-04T06:00:02.000160,2055.5848524289204,5746.878589920845,-2787.3345300456617,-6.476701248110372,0.2935566877284636,-4.168655252623862,-0.0010339528678978138,7.707886878539054
STARLINK-11657 [DTC],2025-05-03T07:47:56.863680,-4594.899755420857,-4873.523607485585,6.959711763026084,4.1073798548293725,-3.866782405412556,5.260982399897978,0.001264774118431955,7.713657346230062
STARLINK-11606 [DTC],2025-05-04T06:00:02.000160,-1028.838784914028,5097.578248573548,-4220.30423797289,-6.8001346410478405,-3.03877364640399,-2.0124408476703555,-0.00015402204461389957,7.715302622198797
STARLINK-11592 [DTC],2025-05-03T22:53:53.270592,-4912.121625137427,-4548.228643731812,6.951378707654419,3.837857978222476,-4.137748211912541,5.262759865817752,0.0005950031283337154,7.7166544031351245
